
Owner                Name                      Type                      Memory Used                                                                                                                    
                                                                                                                                                                                                        
BFI                  BI_LOAD_TREC_BCOS_GL_PK   PACKAGE BODY                    38419                                                                                                                    
BRFC_SM              SMHO_HANDOFFS_PK          PACKAGE BODY                    38352                                                                                                                    
BFI                  BI_LOAD_TREC_FLEX_CONTRAC PACKAGE BODY                    37850                                                                                                                    
                     TS_PK                                                                                                                                                                              
                                                                                                                                                                                                        
FDIC                 BI_LOAD_HOFR_BASE_PK      PACKAGE BODY                    37153                                                                                                                    
SYS                  DBMS_ADVISOR              PACKAGE BODY                    36872                                                                                                                    
SYS                  DBMS_IREFRESH             PACKAGE BODY                    36113                                                                                                                    
BFI                  BI_GENERAL_PK             PACKAGE BODY                    36057                                                                                                                    
EM_MONITOR           CDS_SONAR_PKG             PACKAGE BODY                    35816                                                                                                                    
NICO_DW              DW_COA_PK                 PACKAGE BODY                    35025                                                                                                                    
HNCO_DW              DW_COA_PK                 PACKAGE BODY                    34953                                                                                                                    
PACO_DW              DW_COA_PK                 PACKAGE BODY                    34953                                                                                                                    
SYS                  DBMS_AW_EXP               PACKAGE BODY                    34303                                                                                                                    
DBADMIN              DBS_STATS                 PACKAGE BODY                    33113                                                                                                                    
SYS                  DBMS_AQ                   PACKAGE BODY                    32627                                                                                                                    
SYS                  STANDARD                  PACKAGE BODY                    32596                                                                                                                    
BRFC_DW              BI_GENERAL_PK             PACKAGE BODY                    31941                                                                                                                    
SVCO_DW              DW_COA_PK                 PACKAGE BODY                    31929                                                                                                                    
BFI                  BI_LOAD_BCOSMOS_ACCOUNT_P PACKAGE BODY                    31902                                                                                                                    
                     K                                                                                                                                                                                  
                                                                                                                                                                                                        
SYS                  DBMS_CDC_UTILITY          PACKAGE BODY                    31900                                                                                                                    
SYS                  DBMS_SQL                  PACKAGE BODY                    31684                                                                                                                    
SYS                  DBMS_LOGREP_UTIL          PACKAGE BODY                    30956                                                                                                                    
GTCO_DW              GP_GENERAL_PK             PACKAGE BODY                    30949                                                                                                                    
NICO_DW              GP_GENERAL_PK             PACKAGE BODY                    30861                                                                                                                    
PACO_DW              GP_GENERAL_PK             PACKAGE BODY                    30829                                                                                                                    
CRCO_DW              GP_GENERAL_PK             PACKAGE BODY                    30829                                                                                                                    
SVCO_DW              GP_GENERAL_PK             PACKAGE BODY                    30829                                                                                                                    
HNCO_DW              GP_GENERAL_PK             PACKAGE BODY                    30821                                                                                                                    
SYS                  KUPV$FT                   PACKAGE BODY                    30683                                                                                                                    
SYS                  DBMS_FILE_GROUP_EXP       PACKAGE BODY                    29847                                                                                                                    
BFI                  BI_LOAD_DBP_REP_PK        PACKAGE BODY                    29750                                                                                                                    
BRFC_SM              SMHO_INFO_PK              PACKAGE BODY                    29028                                                                                                                    
BRFC_SA              BI_DATAMART_PK            PACKAGE BODY                    28942                                                                                                                    
SYS                  DBMS_AQADM_SYSCALLS       PACKAGE BODY                    28631                                                                                                                    
FDIC                 BI_LOAD_BCOS_PK           PACKAGE BODY                    28284                                                                                                                    
BFI                  BI_LOAD_GL_CURR_RATES_PK  PACKAGE BODY                    28020                                                                                                                    
BRFC_DW              BI_MSG_PK                 PACKAGE BODY                    27865                                                                                                                    
FDIC                 BI_RUN_PK                 PACKAGE BODY                    27798                                                                                                                    
